id,name_key,field_name,spot,level,x,y,z,anomaly_types,artefacts
jup_b10_anomal_zone,,jup_b10_anomaly_spot,jup_b10_anomaly_spot,jupiter,-387.293,11.546,315.802,,
jup_b1_anomal_zone,,jup_b1_anomaly_spot,jup_b1_anomaly_spot,jupiter,-365.249,3.569,411.719,,
jup_b200_anomal_zone,,jup_b200_anomaly_spot,jup_b200_anomaly_spot,jupiter,395.931,3.570,357.002,,
jup_b201_anomal_zone,,jup_b201_anomaly_spot,jup_b201_anomaly_spot,jupiter,223.792,16.369,-304.354,,
jup_b206_anomal_zone,,jup_b206_anomaly_spot,jup_b206_anomaly_spot,jupiter,52.488,6.896,20.690,,
jup_b209_anomal_zone,,jup_b209_anomaly_spot,jup_b209_anomaly_spot,jupiter,221.163,5.716,-91.293,,
jup_b211_anomal_zone,,jup_b211_anomaly_spot,jup_b211_anomaly_spot,jupiter,262.378,-5.270,459.367,,
jup_b214_anomal_zone,,jup_b214_anomaly_spot,jup_b214_anomaly_spot,jupiter,243.765,35.694,-435.801,,
jup_b25_anomal_zone,,jup_b25_anomaly_spot,jup_b25_anomaly_spot,jupiter,265.467,-33.749,84.250,,
jup_b32_anomal_zone,,jup_b32_anomaly_spot,jup_b32_anomaly_spot,jupiter,-72.982,-0.389,-144.713,,
jup_wa_anomal_zone,,jup_wa_anomaly_spot,jup_wa_anomaly_spot,jupiter,-12.594,2.658,-15.242,,
mar_smart_terrain_10_10_anomal_zone,st_mar_smart_terrain_10_10_anomaly_spot_name,mar_smart_terrain_10_10_anomaly_spot,mar_smart_terrain_10_10_anomaly_spot,k00_marsh,466.522,1.296,-20.357,,
mar_smart_terrain_11_3_anomal_zone,st_mar_smart_terrain_11_3_anomaly_spot_name,mar_smart_terrain_11_3_anomaly_spot,mar_smart_terrain_11_3_anomaly_spot,k00_marsh,405.333,3.236,291.824,,
mar_smart_terrain_12_2_anomal_zone,st_mar_smart_terrain_12_2_anomaly_spot_name,mar_smart_terrain_12_2_anomaly_spot,mar_smart_terrain_12_2_anomaly_spot,k00_marsh,542.397,2.705,294.309,,
mar_smart_terrain_2c_01_anomal_zone,,mar_smart_terrain_2c_01_anomaly_spot,mar_smart_terrain_2c_01_anomaly_spot,k00_marsh,333.266,7.726,-79.951,,
mar_smart_terrain_3_3_anomal_zone,st_mar_smart_terrain_3_3_anomaly_spot_name,mar_smart_terrain_3_3_anomaly_spot,mar_smart_terrain_3_3_anomaly_spot,k00_marsh,-176.767,0.973,250.106,,
mar_smart_terrain_3_7_anomal_zone,st_mar_smart_terrain_3_7_anomaly_spot_name,mar_smart_terrain_3_7_anomaly_spot,mar_smart_terrain_3_7_anomaly_spot,k00_marsh,-183.493,0.528,80.436,,
mar_smart_terrain_8_8_anomal_zone,st_mar_smart_terrain_8_8_anomaly_spot_name,mar_smart_terrain_8_8_anomaly_spot,mar_smart_terrain_8_8_anomaly_spot,k00_marsh,240.266,3.680,62.852,,
mar_smart_terrain_base_anomal_zone,st_mar_smart_terrain_base_anomaly_spot_name,mar_smart_terrain_base_anomaly_spot,mar_smart_terrain_base_anomaly_spot,k00_marsh,-267.481,0.214,-117.381,,
marsh_wa_anomal_zone,,marsh_wa_anomaly_spot,marsh_wa_anomaly_spot,k00_marsh,20.635,1.214,110.593,,
ds_2c_02_anomal_zone,st_ds_2c_02_anomaly_spot_name,ds_2c_02_anomaly_spot,ds_2c_02_anomaly_spot,k01_darkscape,384.185,21.860,287.908,,
ds_2c_03_anomal_zone,st_ds_2c_03_anomaly_spot_name,ds_2c_03_anomaly_spot,ds_2c_03_anomaly_spot,k01_darkscape,232.757,20.115,-368.520,,
trc_2c_01_rift_anomal_zone,,trc_2c_01_rift_anomaly_spot,trc_2c_01_rift_anomaly_spot,k02_trucks_cemetery,-157.090,-2.655,-60.171,,
trc_2c_02_chem_anomal_zone,,trc_2c_02_chem_anomaly_spot,trc_2c_02_chem_anomaly_spot,k02_trucks_cemetery,-310.507,16.919,-153.592,,
trc_2c_03_desolation_anomal_zone,,trc_2c_03_desolation_anomaly_spot,trc_2c_03_desolation_anomaly_spot,k02_trucks_cemetery,261.467,12.408,-299.923,,
trc_sim_13_anomal_zone,,trc_sim_13_anomaly_spot,trc_sim_13_anomaly_spot,k02_trucks_cemetery,-88.972,1.810,66.163,,
esc_2c_01_high_hopes_anomal_zone,st_esc_2c_01_high_hopes_anomaly_spot_name,esc_2c_01_high_hopes_anomaly_spot,esc_2c_01_high_hopes_anomaly_spot,l01_escape,-62.002,31.341,394.949,,
esc_smart_terrain_1_11_anomal_zone,st_esc_smart_terrain_1_11_anomaly_spot_name,esc_smart_terrain_1_11_anomaly_spot,esc_smart_terrain_1_11_anomaly_spot,l01_escape,-245.276,-13.927,-15.991,,
esc_smart_terrain_5_4_anomal_zone,st_esc_smart_terrain_5_4_anomaly_spot_name,esc_smart_terrain_5_4_anomaly_spot,esc_smart_terrain_5_4_anomaly_spot,l01_escape,121.648,2.124,516.428,,
esc_smart_terrain_8_9_anomal_zone,st_esc_smart_terrain_8_9_anomaly_spot_name,esc_smart_terrain_8_9_anomaly_spot,esc_smart_terrain_8_9_anomaly_spot,l01_escape,336.852,14.278,207.091,,
esc_tunnel_electr_anomal_zone,,esc_tunnel_electr_anomaly_spot,esc_tunnel_electr_anomaly_spot,l01_escape,-76.246,-1.333,159.605,,
gar_2c_01_nwi_anomal_zone,st_gar_2c_01_nwi_anomaly_spot_name,gar_2c_01_nwi_anomaly_spot,gar_2c_01_nwi_anomaly_spot,l02_garbage,-54.013,23.341,110.043,,
gar_2c_02_toaster_anomal_zone,st_gar_2c_02_toaster_anomaly_spot_name,gar_2c_02_toaster_anomaly_spot,gar_2c_02_toaster_anomaly_spot,l02_garbage,255.302,2.954,120.245,,
gar_smart_terrain_1_7_anomal_zone,st_gar_smart_terrain_1_7_anomaly_spot_name,gar_smart_terrain_1_7_anomaly_spot,gar_smart_terrain_1_7_anomaly_spot,l02_garbage,-147.233,0.142,-224.628,,
gar_smart_terrain_2_4_anomal_zone,st_gar_smart_terrain_2_4_anomaly_spot_name,gar_smart_terrain_2_4_anomaly_spot,gar_smart_terrain_2_4_anomaly_spot,l02_garbage,-245.771,-0.944,99.420,,
gar_smart_terrain_3_7_anomal_zone,st_gar_smart_terrain_3_7_anomaly_spot_name,gar_smart_terrain_3_7_anomaly_spot,gar_smart_terrain_3_7_anomaly_spot,l02_garbage,-99.809,-2.600,-202.645,,
gar_smart_terrain_5_6_anomal_zone,st_gar_smart_terrain_5_6_anomaly_spot_name,gar_smart_terrain_5_6_anomaly_spot,gar_smart_terrain_5_6_anomaly_spot,l02_garbage,120.883,-0.334,-145.281,,
