~,pda_encyclopedia_name,st_prop_weight,st_upgr_cost,pda_encyclopedia_tier,st_data_export_is_backpack,st_data_export_jump_height,st_data_export_bonus_mutant_part_chance,ui_inv_outfit_fire_wound_protection,ui_inv_outfit_wound_protection,ui_inv_outfit_burn_protection,ui_inv_outfit_shock_protection,ui_inv_outfit_chemical_burn_protection,ui_inv_outfit_radiation_protection,ui_inv_outfit_telepatic_protection,ui_inv_outfit_strike_protection,ui_inv_outfit_explosion_protection,st_prop_restore_health,ui_inv_satiety,st_prop_restore_bleeding,st_data_export_restore_radiation,ui_inv_outfit_power_restore,ui_inv_outfit_additional_weight
af_camelbak,st_af_camelbak_name,0.31,8500,2,N,0,0%,0%,0%,0%,0%,-12.31956%,0%,0%,0%,0%,0,0%,0,0,10%,0
af_camelbak_up,st_af_camelbak_up_name,1.53,17000,5,N,0,0%,0%,0%,0%,0%,-21.384%,0%,0%,0%,0%,0,0%,0,0,30%,0
af_cooler,st_af_cooler_name,0.98,18420,2,N,0,0%,0%,0%,0%,0%,9.855648%,-18.40625%,0%,0%,0%,3,0%,0.30675,0,-21%,0
af_cooler_up,st_af_cooler_up_name,3.56,36840,5,N,0,0%,0%,0%,0%,0%,19.711296%,-34.875%,0%,0%,0%,6,0%,0.6135,0,-30%,0
af_frames,st_af_frames_name,0.73,14200,2,N,0,0%,0%,0%,0%,-12.285135%,0%,0%,5.000004%,0%,0%,0,0%,0,0,0%,0
af_frames_up,st_af_frames_up_name,1.23,28400,4,N,0,0%,0%,0%,0%,-21.8943%,0%,0%,15.000012%,0%,0%,0,0%,0,0,0%,0
af_freon,st_af_freon_name,0.72,9850,2,N,0,0%,0%,0%,0%,0%,0%,33.325%,0%,0%,0%,0,0%,-0.30675,0,0%,0
af_freon_up,st_af_freon_up_name,2.34,11320,4,N,0,0%,0%,0%,0%,0%,0%,66.65%,0%,0%,0%,0,0%,-0.61185,0,0%,0
af_grid,st_af_grid_name,0.44,12650,3,N,0,0%,0%,0%,0%,-12.285135%,0%,0%,0%,0%,0%,0,0%,0,0,0%,5
af_grid_up,st_af_grid_up_name,1.47,25300,5,N,0,0%,0%,0%,0%,-21.8943%,0%,0%,0%,0%,0%,0,0%,0,0,0%,15
af_kevlar,st_af_kevlar_name,1.28,6380,3,N,0,0%,0%,0%,0%,0%,0%,0%,0%,0%,1.63215%,0,0%,0,0,0%,0
af_kevlar_up,st_af_kevlar_up_name,2.98,13380,4,N,0,0%,0%,0%,0%,0%,0%,0%,0%,0%,3.2643%,0,0%,0,0,0%,0
af_magpouch_l,st_af_magpouch_l_name,2.25,6000,1,N,0,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0,0%,0,0,-90%,0
af_magpouch_m,st_af_magpouch_m_name,1.75,4000,1,N,0,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0,0%,0,0,-60%,0
af_magpouch_s,st_af_magpouch_s_name,1.25,2000,1,N,0,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0,0%,0,0,-30%,0
af_plates,st_af_plates_name,1.85,7860,3,N,0,0%,0%,0%,0%,0%,0%,0%,0%,3.900000000039%,5.427%,0,0%,0,0,0%,0
af_plates_up,st_af_plates_up_name,3.53,16860,5,N,0,0%,0%,0%,0%,0%,0%,0%,0%,6.24000000195%,8.1%,0,0%,0,0,0%,0
af_surge,st_af_surge_name,1.56,8500,2,N,0,0%,0%,0%,19.5%,19.656216%,19.711296%,0%,0%,0%,0%,0,0%,0,0,-21%,0
af_surge_up,st_af_surge_up_name,1.00,25000,4,N,0,0%,0%,0%,29.25%,29.484324%,29.566944%,0%,0%,0%,0%,0,0%,0,0,-21%,0
artefact_container,st_itm_artefact_container_name,5.00,5000,0,Y,0,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0,0%,0,0,0%,21
equ_military_pack,st_equ_milpack_name,1.24,15000,0,Y,0,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0,0%,0,0,0%,41
equ_small_military_pack,st_equ_smilpack_name,0.67,7500,0,Y,0,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0,0%,0,0,0%,34
equ_small_pack,st_equ_smallpack_name,0.54,4500,0,Y,0,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0,0%,0,0,0%,28
equ_tourist_pack,st_equ_touristpack_name,1.83,20000,0,Y,0,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0,0%,0,0,0%,47
hide_bloodsucker,st_hide_bloodsucker_name,0.58,8500,3,N,0,0%,0%,9.918%,0%,0%,0%,0%,0%,0%,0%,0,0%,0.918,0,30%,0
hide_boar,st_hide_boar_name,0.57,6200,2,N,0,0%,0%,0%,29.25%,0%,0%,0%,0%,0%,0%,0,0%,0,0,0%,12
hide_burer,st_hide_burer_name,0.66,7500,4,N,0,0%,0%,0%,0%,0%,0%,0%,0%,29.92275%,28.5525%,0,0%,0,0,0%,20
hide_chimera,st_hide_chimera_name,0.68,9000,4,N,0,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,6,0%,0,0,89%,20
hide_controller,st_hide_controller_name,0.63,8000,5,N,0,0%,0%,0%,0%,0%,0%,33.325%,29.7%,0%,0%,0,0%,0,0,0%,0
hide_flesh,st_hide_flesh_name,1.09,6200,1,N,0,0%,0%,0%,0%,0%,29.566944%,0%,0%,0%,0%,0,0%,0,0,30%,0
hide_lurker,st_hide_lurker_name,0.57,6500,2,N,0,0%,0%,0%,0%,0%,0%,49.9875%,0%,0%,0%,0,0%,0,0,30%,12
hide_pseudodog,st_hide_pseudodog_name,0.55,6200,2,N,0,0%,0%,0%,0%,29.484324%,0%,33.325%,0%,0%,0%,0,0%,0,0,0%,0
hide_pseudogiant,st_hide_pseudogiant_name,1.09,11000,5,N,0,0%,14.030064%,14.877%,0%,0%,0%,0%,0%,0%,0%,0,0%,0,0,0%,0
hide_psy_dog,st_hide_psy_dog_name,0.58,7200,3,N,0,0%,0%,0%,14.625%,14.742162%,14.783472%,0%,14.85%,0%,0%,0,0%,0,0,0%,0
hide_psysucker,st_hide_psysucker_name,0.58,7200,3,N,0,0%,0%,0%,0%,0%,0%,0%,14.85%,0%,0%,0,0%,0.612,0,0%,0
itm_backpack,st_itm_backpack_name,0.82,2000,0,Y,0,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0,0%,0,0,0%,21
kit_hunt,st_kit_hunt,1.70,8043,0,N,0,40%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0,0%,0,0,0%,0
powder_poltergeist,st_powder_poltergeist,0.08,2760,4,N,0,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0,0%,0,0,0%,0
side_saddle_rifle,st_speed_rifle,0.05,7500,1,N,0,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0,0%,0,0,-30%,0
side_saddle_shotgun,st_speed_shotgun,0.05,7500,1,N,0,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0,0%,0,0,-30%,0
