~,pda_encyclopedia_name,st_data_export_tool_tier,st_data_export_recipe_requirement,st_data_export_recipe_requirement_name,#1,st_data_export_disassemble_amount,#2,st_data_export_disassemble_amount,#3,st_data_export_disassemble_amount,#4,st_data_export_disassemble_amount
ammo_11.43x23_fmj,ammo-11.43x23-fmj,5,recipe_ammo_0,,st_casing_pistol,x1,st_powder_pistol,x1,st_handgun_rounds,x1,,
ammo_11.43x23_hydro,ammo-11.43x23-hydro,5,recipe_ammo_0,,st_casing_pistol,x2,st_powder_pistol,x2,st_handgun_rounds,x2,,
ammo_12.7x55_ap,ammo_12.7x55_ap,5,recipe_ammo_0,,st_casing_r7,x2,st_powder_mag,x6,st_rifle7_ap_rounds,x2,,
ammo_12.7x55_fmj,ammo-12.7x55-fmj,5,recipe_ammo_0,,st_casing_r7,x1,st_powder_mag,x1,st_rifle7_rounds,x1,,
ammo_12x70_buck,ammo-12x70-buck,5,recipe_ammo_0,,st_casing_shotgun,x1,st_powder_pistol,x2,st_shotgun_rounds,x1,,
ammo_12x76_dart,ammo-12x76-dart,5,recipe_ammo_0,,st_casing_shotgun,x2,st_powder_pistol,x4,st_shotgun_ap_rounds,x2,,
ammo_12x76_zhekan,ammo-12x76-zhekan,5,recipe_ammo_0,,st_casing_shotgun,x2,st_powder_pistol,x3,st_shotgun_rounds,x2,,
ammo_20x70_buck,ammo_20x70_buck,5,recipe_ammo_0,,st_casing_shotgun,x1,st_powder_pistol,x1,st_shotgun_rounds,x1,,
ammo_23_eco,ammo_23_eco,5,recipe_ammo_2,st_recipe_ammo_2,st_casing_shotgun,x1,st_powder_pistol,x3,st_shotgun_ap_rounds,x2,,
ammo_23x75_barrikada,ammo_23x75_barrikada,5,recipe_ammo_0,,st_casing_shotgun,x2,st_powder_mag,x2,st_shotgun_ap_rounds,x2,,
ammo_23x75_shrapnel,ammo_23x75_shrapnel,5,recipe_ammo_0,,st_casing_shotgun,x2,st_powder_mag,x1,st_shotgun_rounds,x2,,
ammo_338_federal,ammo_338_federal,5,recipe_ammo_0,,st_casing_r7,x2,st_powder_mag,x2,st_rifle7_rounds,x2,,
ammo_357_hp_mag,ammo-357-hp,5,recipe_ammo_0,,st_casing_pistol,x2,st_powder_rifle,x1,st_handgun_rounds,x2,,
ammo_5.45x39_ap,ammo-5.45x39-ap,5,recipe_ammo_0,,st_casing_r5,x2,st_powder_rifle,x3,st_rifle5_ap_rounds,x2,,
ammo_5.45x39_ep,ammo-5.45x39-ep,5,recipe_ammo_0,,st_casing_r5,x1,st_powder_rifle,x1,st_rifle5_rounds,x1,,
