~,pda_encyclopedia_name,st_data_export_tool_tier,st_data_export_recipe_requirement,st_data_export_recipe_requirement_name,#1,st_data_export_disassemble_amount,#2,st_data_export_disassemble_amount,#3,st_data_export_disassemble_amount,#4,st_data_export_disassemble_amount
upgr_o_1_magical,st_upgr_o_magical,1,recipe_basic_3,st_gamma_recipe_basic_3,st_light_repair_kit,x1,st_sewing_kit_b,x1,st_prt_i_textolite,x3,st_prt_i_copper,x2
upgr_o_1_physical,st_upgr_o_physical,1,recipe_basic_3,st_gamma_recipe_basic_3,st_light_repair_kit,x1,st_sewing_kit_b,x1,st_prt_o_fabrics_4,x3,st_prt_i_scrap,x2
upgr_o_1_utility,st_upgr_o_utility,1,recipe_basic_3,st_gamma_recipe_basic_3,st_light_repair_kit,x1,st_sewing_kit_b,x1,st_prt_i_resistors,x3,st_rope,x2
upgr_o_2_magical,st_upgr_o_magical,2,recipe_advanced_3,st_gamma_recipe_advanced_3,st_medium_repair_kit,x1,st_sewing_kit_a,x1,st_prt_i_textolite,x4,st_prt_i_copper,x3
upgr_o_2_physical,st_upgr_o_physical,2,recipe_advanced_3,st_gamma_recipe_advanced_3,st_medium_repair_kit,x1,st_sewing_kit_a,x1,st_prt_o_fabrics_4,x4,st_prt_i_scrap,x3
upgr_o_2_utility,st_upgr_o_utility,2,recipe_advanced_3,st_gamma_recipe_advanced_3,st_medium_repair_kit,x1,st_sewing_kit_a,x1,st_prt_i_resistors,x4,st_rope,x3
upgr_o_3_magical,st_upgr_o_magical,3,recipe_expert_3,st_gamma_recipe_expert_3,st_exolight_repair_kit,x1,st_sewing_kit_h,x1,st_prt_i_textolite,x5,st_prt_i_copper,x4
upgr_o_3_physical,st_upgr_o_physical,3,recipe_expert_3,st_gamma_recipe_expert_3,st_exolight_repair_kit,x1,st_sewing_kit_h,x1,st_prt_o_fabrics_4,x5,st_prt_i_scrap,x4
upgr_o_3_utility,st_upgr_o_utility,3,recipe_expert_3,st_gamma_recipe_expert_3,st_exolight_repair_kit,x1,st_sewing_kit_h,x1,st_prt_i_resistors,x5,st_rope,x4
upgr_w_1_external,st_upgr_w_external,1,recipe_basic_3,st_gamma_recipe_basic_3,st_cleaning_kit_s_new,x1,st_ramrod_tool,x1,st_rasp_tool,x1,st_prt_i_scrap,x3
upgr_w_1_internal,st_upgr_w_internal,1,recipe_basic_3,st_gamma_recipe_basic_3,st_cleaning_kit_s_new,x1,st_ramrod_tool,x1,st_grease,x2,st_prt_i_fasteners,x3
upgr_w_1_optical,st_upgr_w_optical,1,recipe_basic_3,st_gamma_recipe_basic_3,st_cleaning_kit_s_new,x1,st_ramrod_tool,x1,st_steel_wool,x2,st_prt_i_copper,x3
upgr_w_2_external,st_upgr_w_external,2,recipe_advanced_3,st_gamma_recipe_advanced_3,st_cleaning_kit_r5_new,x1,st_ramrod_tool,x2,st_rasp_tool,x2,st_prt_i_scrap,x4
upgr_w_2_internal,st_upgr_w_internal,2,recipe_advanced_3,st_gamma_recipe_advanced_3,st_cleaning_kit_r5_new,x1,st_ramrod_tool,x2,st_grease,x3,st_prt_i_fasteners,x4
upgr_w_2_optical,st_upgr_w_optical,2,recipe_advanced_3,st_gamma_recipe_advanced_3,st_cleaning_kit_r5_new,x1,st_ramrod_tool,x2,st_steel_wool,x3,st_prt_i_copper,x4
upgr_w_3_external,st_upgr_w_external,3,recipe_expert_3,st_gamma_recipe_expert_3,st_cleaning_kit_r7_new,x1,st_ramrod_tool,x3,st_rasp_tool,x3,st_prt_i_scrap,x5
upgr_w_3_internal,st_upgr_w_internal,3,recipe_expert_3,st_gamma_recipe_expert_3,st_cleaning_kit_r7_new,x1,st_ramrod_tool,x3,st_grease,x4,st_prt_i_fasteners,x5
upgr_w_3_optical,st_upgr_w_optical,3,recipe_expert_3,st_gamma_recipe_expert_3,st_cleaning_kit_r7_new,x1,st_ramrod_tool,x3,st_steel_wool,x4,st_prt_i_copper,x5
