id,texture,width,height,x,y
army_nosorog_outfit,ui\ui_crepis_helmetless,100,150,100,750
army_outfit,ui\ui_icon_equipment,100,100,4800,0
bandit_exo_outfit,ui\ui_crepis_helmetless,100,150,200,600
bandit_exolight_outfit,ui\ui_crepis_helmetless,100,150,800,0
bandit_nbc_outfit,ui\ui_crepis_helmetless,100,150,100,150
bandit_novice_outfit,ui\ui_icon_equipment,100,100,4100,400
bandit_novice_outfit_alt,ui\ui_icon_equipment,100,100,4100,500
bandit_ps5_outfit,ui\ui_icon_equipment,100,150,4700,600
bandit_scientific_dark_outfit,ui\ui_crepis_helmetless,100,150,500,450
bandit_scientific_outfit,ui\ui_crepis_helmetless,100,150,1500,450
bandit_sun_outfit,ui\ui_icon_equipment,100,150,4500,300
banditmerc_outfit,ui\ui_icon_equipment,100,150,4600,600
cs_exo_outfit,ui\ui_crepis_helmetless,100,150,800,600
cs_exolight_outfit,ui\ui_crepis_helmetless,100,150,500,0
cs_heavy_outfit,ui\ui_icon_equipment,100,150,5800,150
cs_light_novice_outfit,ui\ui_icon_equipment,100,150,5800,0
cs_light_outfit,ui\ui_icon_equipment,100,150,4600,1200
cs_medium_outfit,ui\ui_icon_equipment,100,150,4600,1350
cs_nbc_outfit,ui\ui_crepis_helmetless,100,150,500,150
cs_novice_outfit,ui\ui_icon_equipment,100,100,4100,300
cs_scientific_outfit,ui\ui_crepis_helmetless,100,150,400,450
cs_scientific_outfit_good,ui\ui_crepis_helmetless,100,150,1300,450
cs_stalker_outfit,ui\ui_icon_equipment,100,150,4400,600
cs_stalker_proto_exo_outfit,ui\ui_icon_equipment,100,150,5200,900
dolg_exo_outfit,ui\ui_crepis_helmetless,100,150,500,600
dolg_exolight_outfit,ui\ui_crepis_helmetless,100,150,200,0
dolg_heavy_outfit,ui\ui_icon_equipment,100,150,5100,900
dolg_heavy_proto_exo_outfit,ui\ui_icon_equipment,100,150,5200,600
dolg_heavy_redline_outfit,ui\ui_icon_equipment,100,150,5100,1050
dolg_nosorog_outfit,ui\ui_crepis_helmetless,100,150,0,750
dolg_novice_outfit,ui\ui_icon_equipment,100,100,4100,600
dolg_outfit,ui\ui_icon_equipment,100,150,4700,0
dolg_pantsir_outfit,ui\ui_icon_equipment,100,150,5800,300
dolg_proto_exo_outfit,ui\ui_icon_equipment,100,150,5200,300
dolg_red_outfit,ui\ui_icon_equipment,100,150,4700,300
dolg_scientific_outfit,ui\ui_crepis_helmetless,100,150,100,450
dolg_scientific_red_outfit,ui\ui_crepis_helmetless,100,150,700,450
dolg_scientific_wood_outfit,ui\ui_crepis_helmetless,100,150,800,450
dolg_scout_outfit,ui\ui_icon_equipment,100,150,4700,150
dolg_specops_red_outfit,ui\ui_icon_equipment,100,150,4800,400
dolg_voin_outfit,ui\ui_icon_equipment,100,150,4600,1050
ecolog_exo_outfit,ui\ui_crepis_helmetless,100,150,700,600
ecolog_guard_outfit,ui\ui_icon_equipment,100,150,4400,450
ecolog_outfit_blue,ui\ui_crepis_helmetless,100,150,300,300
ecolog_outfit_green,ui\ui_crepis_helmetless,100,150,100,300
ecolog_outfit_orange,ui\ui_crepis_helmetless,100,150,0,300
ecolog_outfit_red,ui\ui_crepis_helmetless,100,150,500,300
ecolog_outfit_white,ui\ui_crepis_helmetless,100,150,200,300
ecolog_outfit_yello,ui\ui_crepis_helmetless,100,150,400,300
ecolog_proto_exo_outfit,ui\ui_icon_equipment,100,150,5200,1050
exo_dolg_outfit,ui\ui_crepis_helmetless,100,150,200,0
exo_dolg_red_outfit,ui\ui_crepis_helmetless,100,150,1400,0
exo_dolg_urban_outfit,ui\ui_crepis_helmetless,100,150,1600,0
exo_dolg_wood_outfit,ui\ui_crepis_helmetless,100,150,1500,0
exo_merc_grass_outfit,ui\ui_crepis_helmetless,100,150,1300,0
exo_merc_urban_outfit,ui\ui_crepis_helmetless,100,150,1100,0
exo_merc_wood_outfit,ui\ui_crepis_helmetless,100,150,1200,0
exo_outfit,ui\ui_crepis_helmetless,100,150,0,600
exo_wood_outfit,ui\ui_crepis_helmetless,100,150,700,0
exolight_outfit,ui\ui_crepis_helmetless,100,150,0,0
freedom_exo_vineleaf_outfit,ui\ui_crepis_helmetless,100,150,900,0
freedom_nosorog_outfit,ui\ui_crepis_helmetless,100,150,300,750
ghillie_outfit,ui\ui_icon_equipment,100,150,5800,450
greh_armored_camo_outfit,ui\ui_icon_equipment,100,150,4600,1650
greh_armored_outfit,ui\ui_icon_equipment,100,150,4600,1500
greh_exo_outfit,ui\ui_crepis_helmetless,100,150,1000,600
greh_ps5_outfit,ui\ui_icon_equipment,100,150,4700,750
greh_trenchcoat_outfit,ui\ui_icon_equipment,100,150,4200,300
helm_ach7,ui\ui_icon_equipment,100,100,4000,300
helm_ach7ex,ui\ui_icon_equipment,100,100,4000,800
helm_bandana,ui\ui_icon_equipment,100,100,4000,200
helm_battle,ui\ui_icon_equipment,100,100,4000,600
