~,pda_encyclopedia_name,st_data_export_description,st_upgr_cost,st_prop_weight
prt_o_ballistic_1,st_prt_o_ballistic_1,st_prt_o_ballistic_1_descr,750,0.30
prt_o_ballistic_10,st_prt_o_ballistic_10,st_prt_o_ballistic_10_descr,750,0.30
prt_o_ballistic_11,st_prt_o_ballistic_11,st_prt_o_ballistic_11_descr,750,0.30
prt_o_ballistic_12,st_prt_o_ballistic_12,st_prt_o_ballistic_12_descr,750,0.30
prt_o_ballistic_13,st_prt_o_ballistic_13,st_prt_o_ballistic_13_descr,750,0.30
prt_o_ballistic_14,st_prt_o_ballistic_14,st_prt_o_ballistic_14_descr,750,0.30
prt_o_ballistic_15,st_prt_o_ballistic_15,st_prt_o_ballistic_15_descr,750,0.30
prt_o_ballistic_16,st_prt_o_ballistic_16,st_prt_o_ballistic_16_descr,750,0.30
prt_o_ballistic_17,st_prt_o_ballistic_17,st_prt_o_ballistic_17_descr,750,0.30
prt_o_ballistic_18,st_prt_o_ballistic_18,st_prt_o_ballistic_18_descr,750,0.30
prt_o_ballistic_19,st_prt_o_ballistic_19,st_prt_o_ballistic_19_descr,750,0.30
prt_o_ballistic_2,st_prt_o_ballistic_2,st_prt_o_ballistic_2_descr,750,0.30
prt_o_ballistic_20,st_prt_o_ballistic_20,st_prt_o_ballistic_20_descr,750,0.30
prt_o_ballistic_3,st_prt_o_ballistic_3,st_prt_o_ballistic_3_descr,750,0.30
prt_o_ballistic_4,st_prt_o_ballistic_4,st_prt_o_ballistic_4_descr,750,0.30
prt_o_ballistic_5,st_prt_o_ballistic_5,st_prt_o_ballistic_5_descr,750,0.30
prt_o_ballistic_6,st_prt_o_ballistic_6,st_prt_o_ballistic_6_descr,750,0.30
prt_o_ballistic_7,st_prt_o_ballistic_7,st_prt_o_ballistic_7_descr,750,0.30
prt_o_ballistic_8,st_prt_o_ballistic_8,st_prt_o_ballistic_8_descr,750,0.30
prt_o_ballistic_9,st_prt_o_ballistic_9,st_prt_o_ballistic_9_descr,750,0.30
