~,pda_encyclopedia_name,st_data_export_mag_provider,st_data_export_mag_limit_small,st_data_export_mag_limit_medium,st_data_export_mag_limit_large
af_magpouch_l,st_af_magpouch_l_name,magpouch,4,3,2
af_magpouch_m,st_af_magpouch_m_name,magpouch,3,2,1
af_magpouch_s,st_af_magpouch_s_name,magpouch,3,1,0
army_nosorog_outfit,army_nosorog_outfit_name,outfit,5,5,2
army_outfit,army_outfit_name,outfit,4,4,1
bandit_exo_outfit,bandit_exo_outfit_name,outfit,6,6,2
bandit_exolight_outfit,bandit_exolight_outfit_name,outfit,5,5,2
bandit_nbc_outfit,bandit_nbc_outfit_name,outfit,5,5,1
bandit_novice_outfit,bandit_novice_outfit_name,outfit,3,2,0
bandit_novice_outfit_alt,bandit_novice_alt_outfit_name,outfit,3,2,0
bandit_ps5_outfit,bandit_ps5_outfit_name,outfit,4,3,0
bandit_scientific_dark_outfit,bandit_scientific_dark_outfit_name,outfit,4,3,0
bandit_scientific_outfit,bandit_scientific_outfit_name,outfit,4,4,1
bandit_sun_outfit,bandit_sun_outfit_name,outfit,4,4,1
banditmerc_outfit,banditmerc_outfit_name,outfit,5,5,2
cs_exo_outfit,cs_exo_outfit_name,outfit,5,5,2
cs_exolight_outfit,cs_exolight_outfit_name,outfit,5,5,2
cs_heavy_outfit,csky_heavy_outfit_name,outfit,6,6,2
cs_light_novice_outfit,csky_light_novice_outfit_name,outfit,4,2,0
cs_light_outfit,csky_light_outfit_name,outfit,4,3,0
cs_medium_outfit,csky_medium_outfit_name,outfit,4,4,1
cs_nbc_outfit,cs_nbc_outfit_name,outfit,4,4,1
cs_novice_outfit,csky_novice_outfit_name,outfit,3,2,0
cs_scientific_outfit,cs_scientific_outfit_name,outfit,4,3,0
cs_scientific_outfit_good,cs_scientific_outfit_good_name,outfit,4,3,0
cs_stalker_outfit,cs_stalker_outfit_name,outfit,3,3,0
cs_stalker_proto_exo_outfit,cs_stalker_proto_exo_outfit_name,outfit,3,3,0
dolg_exo_outfit,dolg_exo_outfit_name,outfit,5,5,2
dolg_exolight_outfit,dolg_exolight_outfit_name,outfit,5,5,2
dolg_heavy_outfit,dolg_heavy_outfit_name,outfit,6,6,2
dolg_heavy_proto_exo_outfit,dolg_heavy_proto_exo_outfit_name,outfit,6,6,2
dolg_heavy_redline_outfit,dolg_heavy_redline_outfit_name,outfit,6,6,2
dolg_nosorog_outfit,dolg_nosorog_outfit_name,outfit,5,5,2
dolg_novice_outfit,dolg_novice_outfit_name,outfit,3,2,0
dolg_outfit,dolg_outfit_name,outfit,4,3,0
dolg_pantsir_outfit,dolg_pantsir_outfit_name,outfit,5,5,2
dolg_proto_exo_outfit,dolg_proto_exo_outfit_name,outfit,4,3,0
dolg_red_outfit,dolg_red_outfit_name,outfit,4,3,0
dolg_scientific_outfit,dolg_scientific_outfit_name,outfit,4,3,0
dolg_scientific_red_outfit,dolg_scientific_red_outfit_name,outfit,4,3,0
dolg_scientific_wood_outfit,dolg_scientific_wood_outfit_name,outfit,4,3,0
dolg_scout_outfit,dolg_scout_outfit_name,outfit,4,3,0
dolg_specops_red_outfit,dolg_specops_red_outfit_name,outfit,5,5,2
dolg_voin_outfit,dolg_voin_outfit_name,outfit,5,5,2
ecolog_exo_outfit,ecolog_exo_outfit_name,outfit,5,5,2
ecolog_guard_outfit,ecologist_guard_outfit_name,outfit,3,3,0
ecolog_outfit_blue,st_ecologist_outfit_blue_name,outfit,4,2,0
ecolog_outfit_green,st_ecologist_outfit_grn_name,outfit,4,2,0
ecolog_outfit_orange,st_ecologist_outfit_orange_name,outfit,3,2,0
ecolog_outfit_red,st_ecologist_outfit_red_name,outfit,4,2,0
ecolog_outfit_white,st_ecologist_outfit_white_name,outfit,3,2,0
ecolog_outfit_yello,st_ecologist_outfit_yello_name,outfit,3,2,0
ecolog_proto_exo_outfit,ecolog_proto_exo_outfit_name,outfit,4,3,0
equ_military_pack,st_equ_milpack_name,backpack,2,2,0
equ_small_military_pack,st_equ_smilpack_name,backpack,1,1,0
equ_small_pack,st_equ_smallpack_name,backpack,1,0,0
equ_tourist_pack,st_equ_touristpack_name,backpack,2,2,1
exo_dolg_outfit,exo_dolg_outfit_name,outfit,5,5,2
exo_dolg_red_outfit,exo_dolg_red_outfit_name,outfit,5,5,2
exo_dolg_urban_outfit,exo_dolg_urban_outfit_name,outfit,5,5,2
exo_dolg_wood_outfit,exo_dolg_wood_outfit_name,outfit,5,5,2
exo_merc_grass_outfit,exo_merc_grass_outfit_name,outfit,5,5,2
exo_merc_urban_outfit,exo_merc_urban_outfit_name,outfit,5,5,2
exo_merc_wood_outfit,exo_merc_wood_outfit_name,outfit,5,5,2
exo_outfit,exo_outfit_name,outfit,5,5,2
exo_wood_outfit,exo_wood_outfit_name,outfit,5,5,2
exolight_outfit,exolight_outfit_name,outfit,5,5,2
freedom_exo_vineleaf_outfit,freedom_exo_vineleaf_outfit_name,outfit,5,5,2
freedom_nosorog_outfit,freedom_nosorog_outfit_name,outfit,5,5,2
ghillie_outfit,ghillie_outfit_name,outfit,3,2,0
greh_armored_camo_outfit,greh_armored_camo_outfit_name,outfit,5,5,2
greh_armored_outfit,greh_armored_outfit_name,outfit,5,5,2
greh_exo_outfit,greh_exo_outfit_name,outfit,5,5,2
greh_ps5_outfit,greh_ps5_outfit_name,outfit,4,3,0
greh_trenchcoat_outfit,greh_trenchcoat_outfit_name,outfit,4,4,1
hybrid_outfit,hybrid_outfit_name,outfit,4,4,0
isg_camo_outfit,isg_merc_outfit_name,outfit,4,4,1
isg_exo_outfit,isg_exo_outfit_name,outfit,5,5,2
isg_exolight_outfit,isg_exolight_outfit_name,outfit,5,5,2
isg_lcs_camo_outfit,isg_lcs_camo_outfit_name,outfit,5,5,2
isg_lcs_outfit,isg_lcs_outfit_name,outfit,5,5,2
isg_lcs_urban_outfit,isg_lcs_urban_outfit_name,outfit,5,5,2
isg_nosorog_outfit,isg_nosorog_outfit_name,outfit,5,5,2
isg_outfit,isg_outfit_name,outfit,4,4,1
isg_proto_exo_outfit,isg_proto_exo_outfit_name,outfit,4,4,1
isg_scientific_outfit,isg_scientific_outfit_name,outfit,4,4,1
light_dolg_outfit,light_dolg_outfit_name,outfit,4,4,1
light_freedom_outfit,light_freedom_outfit_name,outfit,4,4,1
light_isg_outfit,light_isg_outfit_name,outfit,4,4,1
light_loner_outfit,light_loner_outfit_name,outfit,4,4,1
light_merc_outfit,light_merc_outfit_name,outfit,4,4,1
light_monolit_outfit,light_monolit_outfit_name,outfit,4,4,1
light_voen_outfit,light_voen_outfit_name,outfit,4,4,1
merc_ace_outfit,ace_outfit_name,outfit,4,4,1
merc_combat_scientific_outfit,merc_combat_scientific_outfit_name,outfit,4,4,1
merc_coyote_outfit,merc_coyote_outfit_name,outfit,6,6,2
merc_exo_outfit,merc_exo_outfit_name,outfit,5,5,2
merc_exolight_outfit,merc_exolight_outfit_name,outfit,5,5,2
merc_fighter_outfit,merc_fighter_outfit_name,outfit,4,4,1
merc_jackal_outfit,merc_jackal_outfit_name,outfit,5,5,2
merc_nighthunter_outfit,merc_nighthunter_outfit_name,outfit,4,4,2
merc_nosorog_outfit,merc_nosorog_outfit_name,outfit,5,5,2
merc_outfit,merc_outfit_name,outfit,5,5,2
merc_scientific_armored_outfit,merc_scientific_armored_outfit_name,outfit,4,4,1
merc_scientific_outfit,merc_scientific_outfit_name,outfit,4,3,0
merc_scout_outfit,merc_scout_outfit_name,outfit,4,4,1
