~,pda_encyclopedia_name,st_data_export_mag_size,st_data_export_max_mag_size
mag_1921_11.43x23_default,st_mag_1921_11.43x23_fmj,medium,50
mag_196a1_7.62x54_alt,st_mag_l96a1_pkm,medium,10
mag_50_762x51_drum,st_mag_overlylarge_50_762x51_drum2,medium,50
mag_50_762x51_drum_hinge,st_mag_overlylarge_50_762x51_drum,medium,50
mag_7.62x39_ar15,st_mag_ar15_762x39,medium,30
mag_75_762x39_drum,st_mag_overlylarge_75_762x39_drum,large,75
mag_95_5.56x45_drum,st_mag_overlylarge_95_556_drum,large,95
mag_95_545x39_drum,st_mag_overlylarge_95_545_drum,large,95
mag_ace21_5.56x45_default,st_mag_ace21_5.56x45,medium,35
mag_ak_5.45x39_default,st_mag_ak74_5.45x39,medium,30
mag_ak_5.45x39_extended,st_mag_ak74_5.45x39_extended,medium,60
mag_ak_5.45x39_fast,st_mag_ak74_fast_5.45x39,medium,30
mag_ak_5.45x39_modern,st_mag_ak74m_5.45x39,medium,30
mag_ak_5.56x45_modern,st_mag_ak101_5.56x45,medium,30
mag_ak_7.62x39_default,st_mag_ak_7.62x39,medium,30
mag_ak_7.62x39_fast,st_mag_ak103_fast_7.62x39,medium,30
mag_ak_7.62x39_modern,st_mag_ak103_7.62x39,medium,30
mag_akalfa_5.56x45_bas,st_mag_akalfa_5.56x45_bas,medium,30
mag_akalfa_7.62x39_bas,st_mag_akalfa_7.62x39_bas,medium,30
mag_aps_9x18_default,st_mag_aps_9x18_fmj,small,20
mag_aps_9x19_alt,st_mag_aps_9x19_fmj,small,20
mag_ash_12.7x55_default,st_mag_ash12_12.7x55,medium,10
mag_ash_12.7x55_extended,st_mag_ash12_ext_12.7x55,large,20
mag_aug_5.56x45_default,st_mag_aug_5.56x45,medium,30
mag_aug_5.56x45_extended,st_mag_aug_5.56x45_ext,medium,42
mag_aug_9x19_default,st_mag_aug_9x19_fmj,small,32
mag_bas_pl15_9x19,st_mag_pl15_9x19_fmj,small,16
