~,ui_st_community,pda_encyclopedia_name,st_data_export_description,st_prop_weight,st_upgr_cost,ui_mm_repair,ui_mcm_menu_exo,ui_inv_ap_res,ui_inv_outfit_fire_wound_protection,ui_inv_outfit_wound_protection,ui_inv_outfit_burn_protection,ui_inv_outfit_shock_protection,ui_inv_outfit_chemical_burn_protection,ui_inv_outfit_radiation_protection,ui_inv_outfit_telepatic_protection,ui_inv_outfit_strike_protection,ui_inv_outfit_explosion_protection,ui_inv_outfit_artefact_count,st_data_export_outfit_artefact_count_max,ui_inv_outfit_additional_weight,ui_inv_outfit_speed,st_data_export_hit_fraction_actor,st_data_export_br_class,st_data_export_bone_armor,st_data_export_ap_scale
army_nosorog_outfit,army,army_nosorog_outfit_name,nosorog_outfit_description,102.00,130866,E,Y,69,55%,41%,36%,2%,8%,12%,28%,5%,48%,2,4,103,102%,0.31,0.17,0.6875,0.9
bandit_exo_outfit,bandit,bandit_exo_outfit_name,bandit_exo_outfit_description,49.00,155905,E,Y,47,44%,33%,40%,2%,10%,11%,30%,5%,38%,2,4,124,106%,0.53,0.265,0.55,0.9
bandit_exolight_outfit,bandit,bandit_exolight_outfit_name,bandit_exolight_outfit_description,24.50,87336,H,N,44,41%,33%,34%,2%,15%,11%,25%,5%,35%,2,3,65,96%,0.56,0.34,0.525,0.9
cs_exo_outfit,csky,cs_exo_outfit_name,cs_exo_outfit_description,70.00,158105,E,Y,59,40%,29%,47%,2%,12%,14%,30%,5%,38%,3,5,96,103%,0.41,0.265,0.5,0.9
cs_exolight_outfit,csky,cs_exolight_outfit_name,cs_exolight_outfit_description,35.00,103230,H,N,55,37%,29%,41%,2%,18%,14%,25%,5%,35%,3,4,50,93%,0.45,0.34,0.475,0.9
cs_heavy_outfit,csky,csky_heavy_outfit_name,csky_heavy_outfit_description,24.00,74933,H,N,36,30%,25%,47%,36%,12%,24%,40%,20%,20%,2,3,28,103%,0.64,0.47,0.375,0.9
cs_scientific_outfit_good,csky,cs_scientific_outfit_good_name,cs_scientific_outfit_good_description,28.00,129360,H,N,46,32%,23%,41%,53%,18%,36%,10%,40%,25%,3,5,28,98%,0.54,,0.4,0.9
cs_stalker_proto_exo_outfit,csky,cs_stalker_proto_exo_outfit_name,cs_stalker_proto_exo_outfit_description,40.00,172368,H,Y,30,22%,22%,23%,14%,41%,20%,14%,15%,10%,4,6,96,108%,0.7,0.6,0.2875,0.9
dolg_exo_outfit,dolg,dolg_exo_outfit_name,dolg_exo_outfit_description,63.00,174200,E,Y,59,44%,39%,51%,2%,10%,12%,24%,3%,38%,3,5,96,104%,0.41,0.265,0.55,0.9
dolg_exolight_outfit,dolg,dolg_exolight_outfit_name,dolg_exolight_outfit_description,31.50,84671,H,N,55,41%,39%,46%,2%,15%,12%,20%,3%,35%,2,3,50,94%,0.45,0.34,0.525,0.9
dolg_heavy_outfit,dolg,dolg_heavy_outfit_name,dolg_heavy_outfit_description,25.20,77173,H,N,52,39%,26%,7%,5%,8%,5%,20%,7%,50%,2,3,42,102%,0.48,0.4,0.4875,0.9
dolg_heavy_proto_exo_outfit,dolg,dolg_heavy_proto_exo_outfit_name,dolg_heavy_proto_exo_outfit_description,45.00,176580,E,Y,55,41%,29%,7%,2%,8%,5%,24%,7%,60%,3,5,96,109%,0.45,0.4,0.525,0.9
dolg_heavy_redline_outfit,dolg,dolg_heavy_redline_outfit_name,dolg_heavy_redline_outfit_description,25.20,102898,H,N,52,39%,26%,7%,5%,8%,5%,20%,7%,50%,3,4,42,102%,0.48,0.4,0.4875,0.9
