~,pda_encyclopedia_name,st_data_export_description,st_prop_weight,st_upgr_cost,ui_mm_repair,ui_inv_ap_res,ui_inv_outfit_fire_wound_protection,ui_inv_outfit_wound_protection,ui_inv_outfit_burn_protection,ui_inv_outfit_shock_protection,ui_inv_outfit_chemical_burn_protection,ui_inv_outfit_radiation_protection,ui_inv_outfit_telepatic_protection,ui_inv_outfit_strike_protection,ui_inv_outfit_explosion_protection,st_data_export_hit_fraction_actor,st_data_export_br_class,st_data_export_bone_armor,st_data_export_ap_scale
helm_ach7,helm_ach7,helm_ach7_descr,3.27,13700,M,25,16%,2%,0%,0%,0%,1%,11%,0%,9%,0.75,,0.2,0.87
helm_ach7ex,helm_ach7ex,helm_ach7ex_descr,3.89,17500,M,30,16%,3%,1%,1%,4%,20%,11%,0%,11%,0.7,,0.2,0.87
helm_bandana,st_helm_bandana,st_helm_bandana_descr,0.10,230,F,0,0%,0%,1%,0%,5%,4%,0%,0%,0%,1,,0,
helm_battle,st_helm_battle,st_helm_battle_descr,4.87,27520,H,30,27%,5%,1%,0%,5%,29%,13%,0%,12%,0.7,,0.35,0.75
helm_cloth_mask,st_helm_cloth_mask,st_helm_cloth_mask_descr,0.22,450,F,0,0%,0%,0%,0%,3%,3%,0%,0%,0%,1,,0,
helm_exo,st_helm_exo_name,st_helm_exo_descr,5.37,30520,E,50,32%,6%,7%,1%,17%,48%,22%,0%,13%,0.5,,0.4,0.7
helm_hardhat,st_helm_hardhat,st_helm_hardhat_descr,2.67,10640,L,25,16%,2%,0%,0%,0%,1%,8%,0%,11%,0.75,,0.2,0.87
helm_hardhat_snag,st_helm_hardhat,st_helm_hardhat_descr,2.67,15820,L,25,16%,2%,0%,0%,0%,1%,8%,0%,11%,0.75,,0.2,0.87
helm_m40,st_helm_m40,st_helm_m40_descr,2.90,15920,M,10,2%,4%,1%,0%,8%,29%,4%,0%,6%,0.9,,0.03,1
helm_m50,helm_m50,helm_m50_descr,2.18,20700,H,15,2%,2%,0%,0%,19%,50%,11%,0%,6%,0.85,,0.03,1
helm_metro,st_helm_metro,st_helm_metro_descr,6.87,33440,H,55,35%,4%,11%,0%,9%,30%,23%,0%,15%,0.45,,0.45,0.67
helm_ppm88,helm_ppm88,helm_ppm88_descr,2.25,18500,M,10,2%,1%,0%,0%,4%,35%,1%,0%,0%,0.9,,0.03,1
helm_protective,st_helm_protective,st_helm_protective_descr,3.60,17720,M,15,12%,3%,3%,0%,18%,34%,10%,0%,0%,0.85,,0.15,0.9
helm_ranger,helm_ranger,helm_ranger_descr,2.42,24300,H,15,2%,2%,20%,0%,21%,61%,21%,0%,9%,0.85,,0.03,1
helm_resp,st_helm_resp,st_helm_resp_descr,1.10,4220,F,5,0%,1%,0%,0%,2%,9%,0%,0%,0%,0.95,,0.01,1
helm_respirator,st_helm_respirator,st_helm_respirator_descr,1.18,6120,L,10,0%,2%,0%,0%,5%,12%,0%,0%,1%,0.9,,0.01,1
helm_respirator_gp5,st_helm_respirator_gp5,st_helm_respirator_gp5_descr,1.50,10120,L,10,0%,2%,0%,0%,1%,23%,1%,0%,1%,0.9,,0.01,1
helm_respirator_old,st_helm_respirator,st_helm_respirator_descr,2.28,7120,L,10,0%,2%,0%,0%,5%,18%,1%,0%,1%,0.9,,0.01,1
helm_rp_bala,st_helm_rp_bala,st_helm_rp_bala_descr,0.21,550,F,0,0%,0%,1%,0%,5%,4%,0%,0%,0%,1,,0,
helm_spartan,helm_spartan,helm_spartan_descr,5.12,37000,E,65,35%,8%,27%,0%,18%,54%,25%,0%,18%,0.35,,0.45,0.67
helm_tactic,st_helm_tactic,st_helm_tactic_descr,4.18,22440,H,30,24%,3%,1%,2%,7%,25%,15%,0%,11%,0.7,,0.3,0.78
