~,ui_st_community,pda_encyclopedia_name,st_data_export_description,st_prop_weight,st_upgr_cost,ui_mm_repair,ui_mcm_menu_exo,ui_inv_ap_res,ui_inv_outfit_fire_wound_protection,ui_inv_outfit_wound_protection,ui_inv_outfit_burn_protection,ui_inv_outfit_shock_protection,ui_inv_outfit_chemical_burn_protection,ui_inv_outfit_radiation_protection,ui_inv_outfit_telepatic_protection,ui_inv_outfit_strike_protection,ui_inv_outfit_explosion_protection,ui_inv_outfit_artefact_count,st_data_export_outfit_artefact_count_max,ui_inv_outfit_additional_weight,ui_inv_outfit_speed,st_data_export_hit_fraction_actor,st_data_export_br_class,st_data_export_bone_armor,st_data_export_ap_scale
bandit_ps5_outfit,bandit,bandit_ps5_outfit_name,bandit_ps5_outfit_description,9.80,73138,M,N,26,22%,24%,5%,20%,10%,6%,5%,10%,15%,2,4,26,108%,0.74,0.52,0.2875,0.9
bandit_scientific_dark_outfit,bandit,bandit_scientific_dark_outfit_name,bandit_scientific_dark_outfit_description,11.90,99421,M,N,24,18%,17%,40%,29%,20%,23%,15%,15%,10%,3,5,28,103%,0.76,0.52,0.2375,0.9
bandit_scientific_outfit,bandit,bandit_scientific_outfit_name,bandit_scientific_outfit_description,13.30,112190,M,N,27,27%,17%,30%,44%,15%,22%,10%,25%,10%,3,5,33,104%,0.73,0.52,0.3375,0.9
bandit_sun_outfit,bandit,bandit_sun_outfit_name,bandit_sun_outfit_description,7.70,79046,M,N,23,17%,22%,20%,20%,45%,11%,5%,20%,10%,2,4,20,110%,0.77,0.53,0.225,0.9
cs_medium_outfit,csky,csky_medium_outfit_name,csky_medium_outfit_description,17.00,32623,M,N,31,18%,13%,41%,18%,6%,19%,15%,5%,5%,2,2,24,101%,0.69,0.48,0.2375,0.9
cs_scientific_outfit,csky,cs_scientific_outfit_name,cs_scientific_outfit_description,17.00,95750,M,N,30,17%,15%,47%,36%,24%,31%,15%,15%,10%,3,5,22,100%,0.7,0.52,0.2125,0.9
cs_stalker_outfit,csky,cs_stalker_outfit_name,cs_stalker_outfit_description,11.00,55694,M,N,29,16%,19%,23%,24%,36%,18%,5%,20%,10%,2,3,16,107%,0.71,0.55,0.2,0.9
dolg_outfit,dolg,dolg_outfit_name,dolg_outfit_description,12.60,55364,M,N,33,22%,28%,7%,20%,10%,7%,4%,7%,15%,3,3,20,106%,0.67,0.52,0.2875,0.9
dolg_scientific_outfit,dolg,dolg_scientific_outfit_name,dolg_scientific_outfit_description,15.30,99763,M,N,30,18%,22%,51%,29%,20%,26%,12%,12%,10%,3,5,22,101%,0.7,0.52,0.2375,0.9
dolg_scientific_red_outfit,dolg,dolg_scientific_red_outfit_name,dolg_scientific_red_outfit_description,13.50,99450,M,N,28,16%,18%,58%,28%,24%,28%,10%,20%,10%,3,5,18,104%,0.72,0.52,0.2,0.9
