ItemSection,UpgradeSection,Effects
army_nosorog_outfit,up_sect_firsta_exolight_1,st_prop_weight:0.7:kg|ui_inv_outfit_wound_protection:3.48:pct
army_nosorog_outfit,up_sect_firstc_exolight_1,ui_inv_outfit_fire_wound_protection:3.2:pct|ui_inv_outfit_explosion_protection:2.25:pct|st_prop_weight:1:kg
army_nosorog_outfit,up_sect_firstd_exolight_1,st_prop_durability:-10:pct
army_nosorog_outfit,up_sect_firste_exolight_1,ui_inv_outfit_fire_wound_protection:3.2:pct|ui_inv_outfit_explosion_protection:2.25:pct|st_prop_weight:1:kg
army_nosorog_outfit,up_sect_firstf_exolight_1,st_prop_weight:0.7:kg|ui_inv_outfit_wound_protection:3.48:pct
army_nosorog_outfit,up_sect_secona_exolight_1,st_prop_weight:0.05:kg|ui_inv_outfit_telepatic_protection:2.12:pct
army_nosorog_outfit,up_sect_seconc_exolight_1,st_prop_weight:0.1:kg|ui_inv_outfit_shock_protection:2.04:pct
army_nosorog_outfit,up_sect_second_exolight_1,ui_inv_outfit_burn_protection:5.75:pct|st_prop_weight:0.2:kg
army_nosorog_outfit,up_sect_secone_exolight_1,ui_inv_outfit_chemical_burn_protection:3.3:pct|st_prop_weight:0.2:kg
army_nosorog_outfit,up_sect_seconf_exolight_1,st_prop_weight:0.15:kg|ui_inv_outfit_radiation_protection:5.5:pct
army_nosorog_outfit,up_sect_thirda_exolight_1,st_prop_weight:0.2:kg|ui_inv_outfit_power_restore:60:microg
army_nosorog_outfit,up_sect_thirdc_exolight_1,st_prop_artefact:1:num|st_prop_weight:0.4:kg
army_nosorog_outfit,up_sect_thirde_exolight_1,st_prop_weight:-3:kg
army_nosorog_outfit,up_sect_fourta_exolight_1,ui_inv_outfit_additional_weight:5:kg
army_nosorog_outfit,up_sect_fourtc_exolight_1,ui_inv_outfit_fire_wound_protection:3.2:pct|ui_inv_outfit_explosion_protection:2.25:pct|st_prop_weight:1:kg
army_nosorog_outfit,up_sect_fourtd_exolight_1,st_prop_durability:-10:pct
army_nosorog_outfit,up_sect_fourte_exolight_1,st_prop_restore_bleeding:30:mlmin|st_prop_weight:0.5:kg
army_nosorog_outfit,up_sect_fourtf_exolight_1,st_prop_restore_health:1.5:healpct|st_prop_weight:1:kg
army_nosorog_outfit,up_sect_fiftha_nosorog_1,st_prop_artefact:1:num|st_prop_weight:0.4:kg
army_nosorog_outfit,up_sect_fifthc_nosorog_1,st_prop_weight:0.1:kg|ui_inv_outfit_telepatic_protection:4.25:pct
army_nosorog_outfit,up_sect_fifthd_nosorog_1,st_prop_weight:0.05:kg|ui_inv_outfit_radiation_protection:2.75:pct
army_nosorog_outfit,up_sect_fifthe_nosorog_1,st_prop_weight:3.7:kg
army_outfit,up_sect_firsta_novice_1,ui_inv_outfit_fire_wound_protection:3.2:pct|ui_inv_outfit_explosion_protection:2.25:pct|st_prop_weight:1:kg
army_outfit,up_sect_firstc_novice_1,st_prop_weight:0.7:kg|ui_inv_outfit_wound_protection:3.48:pct
army_outfit,up_sect_firste_novice_1,ui_inv_outfit_fire_wound_protection:3.2:pct|ui_inv_outfit_explosion_protection:2.25:pct|st_prop_weight:1:kg
army_outfit,up_sect_secona_novice_1,ui_inv_outfit_chemical_burn_protection:1.65:pct|st_prop_weight:0.2:kg
army_outfit,up_sect_seconc_novice_1,st_prop_weight:0.2:kg|ui_inv_outfit_shock_protection:4.08:pct
army_outfit,up_sect_second_novice_1,ui_inv_outfit_burn_protection:11.5:pct|st_prop_weight:0.2:kg
army_outfit,up_sect_thirda_novice_1,ui_inv_outfit_additional_weight:5:kg
bandit_exo_outfit,up_sect_firsta_exolight_1,st_prop_weight:0.7:kg|ui_inv_outfit_wound_protection:3.48:pct
bandit_exo_outfit,up_sect_firstc_exolight_1,ui_inv_outfit_fire_wound_protection:3.2:pct|ui_inv_outfit_explosion_protection:2.25:pct|st_prop_weight:1:kg
bandit_exo_outfit,up_sect_firstd_exolight_1,st_prop_durability:-10:pct
bandit_exo_outfit,up_sect_firste_exolight_1,ui_inv_outfit_fire_wound_protection:3.2:pct|ui_inv_outfit_explosion_protection:2.25:pct|st_prop_weight:1:kg
bandit_exo_outfit,up_sect_firstf_exolight_1,st_prop_weight:0.7:kg|ui_inv_outfit_wound_protection:3.48:pct
bandit_exo_outfit,up_sect_secona_exolight_1,st_prop_weight:0.05:kg|ui_inv_outfit_telepatic_protection:2.12:pct
bandit_exo_outfit,up_sect_seconc_exolight_1,st_prop_weight:0.1:kg|ui_inv_outfit_shock_protection:2.04:pct
bandit_exo_outfit,up_sect_second_exolight_1,ui_inv_outfit_burn_protection:5.75:pct|st_prop_weight:0.2:kg
bandit_exo_outfit,up_sect_secone_exolight_1,ui_inv_outfit_chemical_burn_protection:3.3:pct|st_prop_weight:0.2:kg
bandit_exo_outfit,up_sect_seconf_exolight_1,st_prop_weight:0.15:kg|ui_inv_outfit_radiation_protection:5.5:pct
bandit_exo_outfit,up_sect_thirda_exolight_1,st_prop_weight:0.2:kg|ui_inv_outfit_power_restore:60:microg
bandit_exo_outfit,up_sect_thirdc_exolight_1,st_prop_artefact:1:num|st_prop_weight:0.4:kg
bandit_exo_outfit,up_sect_thirde_exolight_1,st_prop_weight:-3:kg
bandit_exo_outfit,up_sect_fourta_exolight_1,ui_inv_outfit_additional_weight:5:kg
bandit_exo_outfit,up_sect_fourtc_exolight_1,ui_inv_outfit_fire_wound_protection:3.2:pct|ui_inv_outfit_explosion_protection:2.25:pct|st_prop_weight:1:kg
bandit_exo_outfit,up_sect_fourtd_exolight_1,st_prop_durability:-10:pct
bandit_exo_outfit,up_sect_fourte_exolight_1,st_prop_restore_bleeding:30:mlmin|st_prop_weight:0.5:kg
bandit_exo_outfit,up_sect_fourtf_exolight_1,st_prop_restore_health:1.5:healpct|st_prop_weight:1:kg
bandit_exo_outfit,up_sect_fiftha_exo_1,st_prop_weight:3.7:kg
bandit_exo_outfit,up_sect_fifthc_exo_1,st_prop_weight:0.1:kg|ui_inv_outfit_telepatic_protection:4.25:pct
