~,silencer_status,scope_status,grenade_launcher_status
pri_a17_gauss_rifle,0,1,0
wpn_9a91,2,0,0
wpn_abakan,0,0,0
wpn_abakan_n,0,0,0
wpn_ace21,2,0,0
wpn_ace52,2,0,0
wpn_adar2_15,2,0,0
wpn_aek,2,0,2
wpn_ak,2,0,0
wpn_ak101,2,0,0
wpn_ak101_camo,2,0,0
wpn_ak102,2,0,0
wpn_ak103,2,0,0
wpn_ak103_camo,2,0,0
wpn_ak104,2,0,0
wpn_ak104_alfa,2,0,0
wpn_ak105,2,0,0
wpn_ak105_shakal,2,0,0
wpn_ak105_sp,2,0,0
wpn_ak105_swamp,2,0,0
wpn_ak12,2,0,2
wpn_ak12_custom,2,0,0
wpn_ak12_custom_mono_kit,2,0,2
wpn_ak12_m1,2,0,2
wpn_ak5c_bas,2,0,0
wpn_ak5c_bas_5c_tik,2,0,0
wpn_ak5c_isg,2,0,0
wpn_ak74,2,0,0
wpn_ak74_isg,2,0,0
wpn_ak74_n,2,0,0
wpn_ak74_pmc,2,0,0
wpn_ak74m,2,0,0
wpn_ak74m_beard,2,0,0
wpn_ak74m_camo,2,0,0
wpn_ak74m_n,2,0,2
wpn_ak74u,2,0,0
wpn_ak74u_isg,2,0,0
wpn_ak74u_m1_isg,2,0,0
wpn_ak74u_n1,2,0,0
wpn_ak74u_tac,2,0,0
wpn_akm,2,0,0
wpn_akm_alfa,2,0,0
wpn_akm_bas,2,0,0
wpn_akm_isg,2,0,0
wpn_akms,2,0,0
wpn_akms_alt,2,0,0
wpn_akms_bas,2,0,0
wpn_aks,2,0,0
wpn_aks74_new,2,0,0
wpn_am17,2,0,0
wpn_amb17,1,0,0
wpn_aps,2,0,0
wpn_aps_bas,0,0,0
wpn_aps_bas_apsabigo,2,1,0
wpn_ar15_freedom,2,0,0
wpn_ash12,0,0,0
wpn_ash12_sup,2,0,0
wpn_aug,2,0,0
wpn_aug_a1_bas,2,0,0
wpn_aug_a1_custom_bas,2,0,0
wpn_aug_a3,2,0,2
wpn_aug_a3_bas,2,0,0
wpn_aug_a3_custom_bas,2,0,0
wpn_aug_freedom,2,0,0
wpn_aug_merc,2,0,0
wpn_aug_modern,2,0,0
wpn_benelli_m1014,2,0,0
wpn_beretta,2,0,0
wpn_beretta_camo,2,0,0
wpn_beretta_m9_upgr_kit,2,0,0
wpn_bizon,2,0,0
wpn_bm16,0,0,0
wpn_bm16_alt,0,0,0
wpn_bm16_full,0,0,0
wpn_bm16_full_alt,0,0,0
wpn_bm16_full_alt_23,0,0,0
wpn_brn180,2,0,0
wpn_browninghp,2,0,0
wpn_cetme,0,0,0
wpn_colt1911,2,0,0
wpn_colt1911_anarchy,0,0,0
wpn_colt1911_camo,0,0,0
wpn_colt1911_custom,2,0,0
wpn_colt1911_duty,2,0,0
wpn_colt1911_n,2,0,0
wpn_cr920,2,0,0
wpn_cz52,0,0,0
wpn_cz75,2,0,0
wpn_cz75_auto,0,0,0
wpn_desert_eagle,0,0,0
wpn_desert_eagle_nimble,0,0,0
wpn_dtmdr,2,0,0
wpn_dtmdr_black,2,0,0
wpn_dtmdr_black_sup,2,0,0
wpn_dtmdr_sup,2,1,0
wpn_dvl10,0,0,0
wpn_dvl10_m1,1,0,0
wpn_eft_mts_255,0,0,0
wpn_eft_rsh12,2,0,0
wpn_fal,2,0,0
wpn_fal_aus,2,0,0
wpn_fal_sa58_osw,2,0,0
wpn_famas3,2,0,0
wpn_fn2000,2,1,2
wpn_fn2000_camo,2,1,0
wpn_fn2000_custom,2,1,1
wpn_fn2000_nimble,2,0,2
wpn_fn57,2,0,0
wpn_fnc,2,0,0
wpn_fnp45,2,0,0
wpn_fnx45,2,0,0
wpn_fnx45_custom,2,0,0
wpn_fort,2,0,0
wpn_fort14,2,0,0
wpn_fort14_bloodoath,2,0,0
wpn_fort17,2,0,0
wpn_fort500,0,0,0
wpn_fort_snag,2,0,0
wpn_g3,2,0,0
wpn_g36,2,1,0
wpn_g36_camo,2,0,2
wpn_g36k_rwap,2,0,0
wpn_g36ka4_rwap,2,0,2
wpn_g36nimble_rwap,2,0,2
wpn_g36v_rwap,2,1,0
wpn_g36v_rwap_cut_kit,2,1,0
wpn_g3sg1,2,1,0
wpn_g43,0,1,0
wpn_gauss,0,1,0
wpn_gauss_quest,0,1,0
wpn_glock,2,0,0
wpn_glock17,0,0,0
wpn_glock17_m1,2,0,0
wpn_glock_custom,2,0,0
wpn_glock_modern,2,0,0
wpn_grot,2,0,0
wpn_grot_short,2,0,0
wpn_grot_short_tan,2,0,0
wpn_grot_tan,2,0,0
wpn_groza,0,0,2
wpn_groza_nimble,0,0,1
wpn_gsh18,2,0,0
wpn_gsh18_custom,2,0,0
wpn_hk21,2,0,0
wpn_hk416,2,0,2
wpn_hk417,2,0,2
wpn_hk51,2,0,0
wpn_howa20,2,0,0
wpn_hpsa,0,0,0
wpn_hpsa_226sig_kit,2,1,0
wpn_ithacam37,0,0,0
wpn_ithacam37_mag,0,0,0
wpn_ithacam37_sawnoff,0,0,0
wpn_ithacam37_stakeout,0,0,0
wpn_ithacam37_stakeout_20x70,0,0,0
wpn_ithacam37_trench,0,0,0
wpn_k98,2,0,0
wpn_k98_mauser_kit,2,1,0
wpn_k98_mod,0,1,0
wpn_k98_mod_silen98,2,1,0
wpn_kiparis,2,0,0
wpn_kiparis_ots2_upgr_kit,2,0,0
wpn_korth,0,0,0
wpn_korth_custom,2,0,0
wpn_kriss_vector,2,0,0
wpn_ks23,0,0,0
wpn_ks23_23_up,0,0,0
wpn_ks23_ecolog,0,1,0
wpn_ks23_kaban,0,0,0
wpn_ks23_kaban_kab_up,2,0,0
wpn_ks23_vorkuta,2,0,0
wpn_ksg23,2,0,0
wpn_l85,2,0,0
wpn_l85_m1,2,0,0
wpn_l85_m2,2,0,0
wpn_l85_m3,2,0,2
wpn_l85_modern,2,0,0
wpn_l96_gravebinder,2,1,0
wpn_l96a1,2,1,0
wpn_l96a1m,2,1,0
wpn_lr300,2,0,2
wpn_lr300_camo,2,0,2
wpn_lvaw,1,0,0
