~,st_data_export_quantity,st_data_export_probability
226sig_kit,1,1
ammo_11.43x23_fmj,8,1
ammo_11.43x23_hydro,8,1
ammo_12x70_buck,8,1
ammo_20x70_buck,8,1
ammo_357_hp_mag,8,1
ammo_5.7x28_ss195,4,1
ammo_7.62x25_p,10,1
ammo_7.62x25_ps,10,1
ammo_7.92x33_fmj,2,1
ammo_9x18_ap,8,1
ammo_9x18_fmj,8,1
ammo_9x18_pmm,8,1
ammo_9x19_ap,8,1
ammo_9x19_fmj,8,1
ammo_9x19_pbp,8,1
batteries_dead,5,1
bolts_pack,2,1
broken_detector,1,1
charcoal,2,1
compression_bag,1,1
cooking,1,1
detector_geiger,2,1
detector_radio,2,1
detector_simple,2,1
device_flashlight,1,1
device_pda_1,1,1
device_torch_dummy,1,1
explo_jerrycan_fuel,1,1
fieldcooker,1,1
flashlight_broken,1,1
itm_actor_backpack,1,1
itm_backpack,1,1
itm_sleepbag,1,1
itm_tent,1,1
kerosene,2,1
kit_hunt,1,1
mag_1921_11.43x23_default,2,0.75
mag_ak_5.56x45_modern,1,0.35
mag_aug_5.56x45_default,1,0.35
mag_bas_sig226_9x19,2,1
mag_beretta_9x19_default,2,1
mag_colt1911_default,2,1
mag_colt1911_extended,1,0.5
mag_coonan_357_default,2,1
mag_fn57_default,2,1
mag_fort_9x18_default,2,1
mag_g36_5.56x45_default,1,0.35
mag_glock_9x19_default,2,1
mag_m1a1_11.43x23_default,2,0.75
mag_mac10_9x19_standard,2,0.75
mag_mk23_45,2,1
mag_nato_5.56x45_short,1,0.75
mag_px4_9x19_default,2,1
mag_sig_5.56x45_sniper,1,0.75
mag_usp_11.43x23_default,2,1
mag_uzi_9x19_default,2,0.75
mag_walther_9x19_default,2,1
mod9,1,1
u2p2g0r,1,1
upg220,1,1
wpn_binoc_inv,1,1
wpn_fort17,1,0.88
wpn_knife,1,1
wpn_knife2,1,1
wpn_sil_45,1,1
wpn_sil_9mm,1,1
wpn_sil_gemtech,1,1
wpn_sil_osp9,1,1
