~,st_data_export_quantity,st_data_export_probability
ammo_11.43x23_fmj,8,1
ammo_11.43x23_hydro,8,1
ammo_12x70_buck,8,1
ammo_20x70_buck,8,1
ammo_7.62x25_p,10,1
ammo_7.62x25_ps,10,1
ammo_7.62x39_fmj,5,1
ammo_7.62x54_7h1,3,1
ammo_7.92x33_fmj,2,1
ammo_9x18_ap,8,1
ammo_9x18_fmj,8,1
ammo_9x18_pmm,7,1
ammo_9x19_fmj,8,1
ammo_9x19_pbp,7,1
batteries_dead,5,1
bolts_pack,2,1
broken_detector,1,1
charcoal,2,1
compression_bag,1,1
cooking,1,1
detector_geiger,2,1
detector_radio,2,1
detector_simple,2,1
device_flashlight,1,1
device_pda_1,1,1
device_torch_dummy,1,1
explo_jerrycan_fuel,1,1
fieldcooker,1,1
flashlight_broken,1,1
itm_actor_backpack,1,1
itm_backpack,1,1
itm_sleepbag,1,1
itm_tent,1,1
kerosene,2,1
kit_hunt,1,1
lazup_pl15,1,1
mag_ak_5.45x39_default,1,0.5
mag_ak_7.62x39_default,1,0.5
mag_aps_9x18_default,2,1
mag_bas_pl15_9x19,2,1
mag_bas_toz106,2,1
mag_bizon_9x18_defalt,1,0.5
mag_colt1911_default,2,1
mag_colt1911_extended,1,0.5
mag_fort_9x18_default,2,1
mag_glock_9x19_default,2,1
mag_gsh18_9x19_default,2,1
mag_kiparis_9x18_default,1,1
mag_m1a1_11.43x23_default,2,0.75
mag_mac10_9x19_standard,2,0.75
mag_mp443_9x19_default,2,1
mag_pm_9x18_default,2,1
mag_ppsh_7.62x25_default,1,0.5
mag_ppsh_7.62x25_stick,1,1
mag_sr1m_9x21_default,2,1
mag_t63_7.62x39_default,2,1
mag_tt33_7.62x25_default,2,1
mag_uzi_9x19_default,2,0.75
mag_vityaz_9x19_default,1,0.75
mag_vz61_9x19_default,1,1
pb_upgr_kit,1,0.85
pl15_scolaz,1,1
pm_upgr_kit,1,0.85
sr1upgr1,1,1
wpn_binoc_inv,1,1
wpn_fort17,1,0.88
wpn_knife,1,1
wpn_knife2,1,1
wpn_sil_9mm,1,1
wpn_sil_aps,1,1
wpn_sil_sr1m,1,1
