~,st_data_export_quantity,st_data_export_probability
226sig_kit,1,1
ac10632,1,1
acog,1,1
af_kevlar,1,1
aim_low,1,1
aimpoint,1,1
ammo_11.43x23_hydro,5,1
ammo_12x76_dart,2,0.35
ammo_12x76_zhekan,3,1
ammo_357_hp_mag,4,1
ammo_5.45x39_ap,4,1
ammo_5.56x45_ap,4,1
ammo_5.56x45_fmj,2,0.85
ammo_5.7x28_ss190,5,1
ammo_5.7x28_ss195,4,1
ammo_7.62x25_ps,5,1
ammo_7.62x51_fmj,2,1
ammo_9x18_ap,5,1
ammo_9x18_fmj,6,1
ammo_9x19_ap,5,1
ammo_9x19_fmj,6,1
ammo_9x21_sp10,4,1
ammo_9x39_pab9,5,1
ammo_pkm_100,1,1
antirad,2,1
bandage,4,1
batteries_exo,1,1
bottle_metal,2,1
box_matches,4,1
bread,2,1
c-more,1,1
c79,1,1
cigar1,2,1
cigar2,2,1
cigar3,2,1
compm4s,1,1
conserva,2,1
cooking,1,1
d0cter,1,1
deltapoint,1,1
e0t2,1,1
energy_drink,2,1
eot,1,1
exps3,1,1
fieldcooker,1,1
flask,3,1
grenade_f1,1,1
hco,1,1
he510,1,1
ied_new,1,1
kolbasa,2,1
kurtz,1,1
lco1,1,1
mag_1921_11.43x23_default,1,1
mag_7.62x39_ar15,2,1
mag_ak_5.45x39_default,2,0.75
mag_ak_5.56x45_modern,1,1
mag_ak_7.62x39_default,2,0.75
mag_aug_5.56x45_default,1,1
mag_aug_5.56x45_extended,1,1
mag_aug_9x19_default,2,1
mag_bas_sig226_9x19,2,1
mag_bas_sig226_9x19_extended,1,0.75
mag_baskiparis_9x18_81,1,0.6
mag_basvz61_9x18_30,2,1
mag_basvz61_9x18_60,1,0.6
mag_beretta_9x19_default,2,1
mag_colt1911_default,2,1
mag_colt1911_extended,1,0.75
mag_coonan_357_default,2,1
mag_coonan_357_ext,1,0.5
mag_deserteagal_default,2,1
mag_dvl_7.62x51,2,1
mag_fn57_default,2,1
mag_fnp45_default,2,1
mag_fort_9x18_default,2,1
mag_frasier_11.43x23_default,2,1
mag_g36_5.56x45_default,1,1
mag_galil_7.62x51_default,2,1
mag_glock_9x19_default,2,1
mag_grot,2,0.75
mag_hinge_7.62x51_default,2,1
mag_hinge_7.62x51_extended,1,0.4
mag_k98_7.92x33,2,1
mag_kriss_11.43x23_default,2,1
mag_kriss_11.43x23_ext,1,0.5
mag_m1a1_11.43x23_default,1,1
mag_mac10_9x19_ext,1,1
mag_mac10_9x19_standard,2,1
mag_mk23_45,2,1
mag_mp5_9x19_default,2,1
mag_mp7_5.7x28_small,2,1
mag_mp9iwp,2,0.75
mag_mp9iwp_ext,2,0.6
mag_nato_5.56x45_default,1,1
mag_nato_5.56x45_extended,1,0.5
mag_nato_5.56x45_fast,2,1
mag_nato_5.56x45_short,2,1
mag_ots_9x39_default,2,0.75
mag_p90_5.7x28_default,2,0.5
mag_pp2000_9x19_default,2,0.75
mag_px4_9x19_default,2,1
mag_rem_7.62x51_default,2,1
mag_remingtonarchangel_7.62x51,2,1
mag_sig_5.56x45_default,1,1
mag_sig_5.56x45_sniper,2,1
mag_sigp220_extended,1,0.75
mag_sks_7.62x39,2,0.75
mag_sr2m_9x21_veresk,2,1
mag_stanag_7.62x51_default,2,1
mag_stanag_7.62x51_extended,1,0.4
mag_stanag_7.62x51_short,2,1
mag_steyr_762,2,1
mag_ump45_11.43x23_default,2,1
mag_usp_11.43x23_default,2,1
mag_uzi_9x19_default,2,0.75
mag_uzi_9x19_extended,2,0.75
mag_wa_7.62x51_default,2,1
mag_walther_9x19_default,2,1
mag_wp99_9x19_extended,1,0.75
medkit,2,1
mepro,1,1
mine _new,1,1
mod9,1,1
pn23,1,1
point_aimpro,1,1
rmr,1,1
romeo8,1,1
side_saddle_rifle,1,1
side_saddle_shotgun,1,1
silen98,1,1
spec_alt,1,1
specter,1,1
trihawk,1,1
u2p2g0r,1,1
uh2,1,1
upg220,1,1
vulcan,1,1
wpn_addon_scope_zf4,1,1
wpn_binoc_inv,1,1
wpn_knife,1,1
wpn_sil_45,1,1
wpn_sil_57,1,1
wpn_sil_9mm,1,1
wpn_sil_atg,1,1
wpn_sil_black_box,1,1
wpn_sil_forester,1,1
wpn_sil_gemtech,1,1
wpn_sil_kac4,1,1
wpn_sil_kek12,1,1
wpn_sil_m42k,1,1
wpn_sil_nato,1,1
wpn_sil_osp9,1,1
wpn_sil_salvo,1,1
wpn_sil_surfire,1,1
