~,st_data_export_price_multiplier
af_ah_e1,1
af_ah_e2,1
af_ah_f1,1
af_ah_g1,1
af_ah_g2,1
af_ah_h1,1
af_ah_h2,1
af_ah_o1,1
af_ah_o2,1
af_ah_r1,1
af_ah_r2,1
af_ah_r3,1
af_ah_r4,1
af_ah_r5,1
af_ah_s1,1
af_black,1
af_magpouch_l,1
af_magpouch_m,1
af_magpouch_s,1
af_tlf_lost_soul,1
af_tlf_prometheus,1
animation_hit_bolt,1
animation_hit_wpn_knife,1
animation_hit_wpn_knife2,1
animation_hit_wpn_knife3,1
animation_hit_wpn_knife4,1
animation_hit_wpn_knife5,1
animation_hit_wpn_knife6,1
animation_hit_wpn_knife7,1
animation_hit_wpn_knife8,1
animation_hit_wpn_knife9,1
exo_dolg_red_outfit,1
fieldcraft_plate_attch,1
items_anm_dummy,1
itm_tent_bag,1
mag_1921_11.43x23_default,1
mag_196a1_7.62x54_alt,1
mag_50_762x51_drum,1
mag_50_762x51_drum_hinge,1
mag_7.62x39_ar15,1
mag_75_762x39_drum,1
mag_95_5.56x45_drum,1
mag_95_545x39_drum,1
mag_ace21_5.56x45_default,1
mag_ak_5.45x39_default,1
mag_ak_5.45x39_extended,1
mag_ak_5.45x39_fast,1
mag_ak_5.45x39_modern,1
mag_ak_5.56x45_modern,1
mag_ak_7.62x39_default,1
mag_ak_7.62x39_fast,1
mag_ak_7.62x39_modern,1
mag_akalfa_5.56x45_bas,1
mag_akalfa_7.62x39_bas,1
mag_aps_9x18_default,1
mag_aps_9x19_alt,1
mag_ash_12.7x55_default,1
mag_ash_12.7x55_extended,1
mag_aug_5.56x45_default,1
mag_aug_5.56x45_extended,1
mag_aug_9x19_default,1
mag_bas_pl15_9x19,1
mag_bas_pl15_9x19_extended,1
mag_bas_sig226_9x19,1
mag_bas_sig226_9x19_extended,1
mag_bas_toz106,1
mag_bas_toz106_zhekan,1
mag_bas_toz106m1,1
mag_bas_toz106m1_zhekan,1
mag_baskiparis_9x18_20,1
mag_baskiparis_9x18_40,1
mag_baskiparis_9x18_81,1
mag_baskiparis_9x19_20,1
mag_baskiparis_9x19_40,1
mag_baskiparis_9x19_81,1
mag_basvz61_9x18_30,1
mag_basvz61_9x18_60,1
mag_basvz61_9x19_30,1
mag_basvz61_9x19_60,1
mag_beretta_9x18_alt,1
mag_beretta_9x19_default,1
mag_bizon_7.62x25_alt,1
mag_bizon_9x18_defalt,1
mag_bizon_9x19_alt,1
mag_bolt_300_default,1
mag_colt1911_762x25,1
mag_colt1911_default,1
mag_colt1911_extended,1
mag_coonan_357_default,1
mag_coonan_357_ext,1
mag_cz52_default,1
mag_cz75_9x18_alt,1
mag_cz75_9x19_default,1
mag_deserteagal_default,1
mag_dvl_338fed,1
mag_dvl_7.62x51,1
mag_fn57_default,1
mag_fnp45_default,1
mag_fnx45_default,1
mag_fort_9x18_default,1
mag_fort_9x19_alt,1
mag_frasier_11.43x23_default,1
mag_g36_5.56x45_default,1
mag_g43_7.92x33_default,1
mag_galil_7.62x51_default,1
mag_galil_7.62x54_7h1_default,1
mag_glock_9x18_alt,1
mag_glock_9x19_default,1
mag_grot,1
mag_gsh18_9x19_default,1
mag_hinge_7.62x51_default,1
mag_hinge_7.62x51_extended,1
mag_hk21_7.62x51_default,1
mag_hpsa_9x18_alt,1
mag_hpsa_9x19_default,1
mag_k98_7.62x51,1
mag_k98_7.62x54,1
mag_k98_7.92x33,1
mag_kiparis_9x18_50,1
mag_kiparis_9x18_default,1
mag_kiparis_9x19_50,1
mag_kiparis_9x19_alt,1
mag_kriss_11.43x23_default,1
mag_kriss_11.43x23_ext,1
mag_kriss_9x19_default,1
mag_kriss_9x19_ext,1
mag_l96a1_7.62x51_default,1
mag_lancer,1
mag_legion_9x19,1
mag_m1a1_11.43x23_default,1
mag_m249_5.56x45_default,1
mag_m82_12.7x55_default,1
mag_m98b_300_default,1
mag_mac10_9x18_alt,1
mag_mac10_9x18_ext_alt,1
mag_mac10_9x19_ext,1
mag_mac10_9x19_standard,1
mag_mk23_45,1
mag_mp443_9x18_alt,1
mag_mp443_9x19_default,1
mag_mp5_9x18_alt,1
mag_mp5_9x18_extended,1
mag_mp5_9x18_extended50,1
mag_mp5_9x19_default,1
mag_mp5_9x19_extended,1
mag_mp5_9x19_extended50,1
mag_mp7_5.7x28_default,1
mag_mp7_5.7x28_small,1
mag_mp7_9x18_alt,1
mag_mp7_9x19_default,1
mag_mp9iwp,1
mag_mp9iwp_9x18,1
mag_mp9iwp_9x18_ext,1
mag_mp9iwp_ext,1
mag_nato_5.45x39_alt,1
mag_nato_5.56x45_casket,1
mag_nato_5.56x45_default,1
mag_nato_5.56x45_drum,1
mag_nato_5.56x45_drum_ext,1
mag_nato_5.56x45_extended,1
mag_nato_5.56x45_fast,1
